t_rel,cum_migrations
0.000,0
2.006,80
4.011,216
6.016,269
8.022,273
10.026,274
12.031,314
14.036,353
16.040,353
18.045,353
20.049,359
22.054,359
24.058,359
26.063,43414
28.068,43415
30.073,43415
32.077,43415
34.089,43458
36.093,43539
38.098,43539
40.103,43542
42.107,43544
44.112,43547
46.123,43550
48.128,43550
50.133,43552
52.137,43555
54.141,43585
56.146,43595
58.151,43597
60.156,43597
62.160,43598
64.165,43600
66.170,90226
68.174,135278
70.179,138395
72.185,138449
74.189,138449
76.194,138449
78.199,138449
80.204,138449
82.209,138450
84.214,138450
86.219,138450
88.224,138451
90.228,138452
92.233,138452
94.238,138452
96.243,138486
98.247,138487
100.252,138487
102.257,145425
104.263,145428
106.268,145430
108.273,145431
110.278,145432
112.282,145432
114.287,145433
116.291,145433
118.296,145435
120.301,146576
122.306,146576
124.310,146576
126.316,147468
128.320,149188
130.325,149191
132.330,149191
134.335,149191
136.340,149193
138.344,149193
140.349,149195
142.354,149196
144.358,149196
146.363,149198
148.367,149198
150.372,149199
152.377,149200
154.382,149201
156.386,149208
158.391,149209
160.396,149209
162.400,155802
164.405,155802
166.410,155803
168.414,155803
170.419,155804
172.423,155805
174.428,155807
176.433,155808
178.438,155853
180.442,155855
182.460,155857
184.465,155857
186.470,155940
188.475,155957
190.480,155962
192.485,155965
194.490,158346
196.495,158346
198.499,158349
200.504,158349
202.509,158351
204.514,158354
206.519,158358
208.523,158361
210.528,158361
212.533,158363
214.538,158365
216.543,158380
218.548,158382
220.553,158384
222.558,158388
224.563,158388
226.568,158391
228.573,162179
230.578,162183
232.583,162185
234.588,162187
236.593,162192
238.598,162197
240.603,162197
242.607,162199
244.612,162200
246.617,162220
248.622,162229
250.627,162230
252.631,162232
254.636,162232
256.641,162236
258.646,162240
260.651,164545
262.656,164547
264.660,164547
266.665,164549
268.670,164553
270.675,164557
272.686,164558
274.691,164562
276.696,164576
278.700,164581
280.705,164583
282.710,164585
284.715,164586
286.719,164587
288.724,164587
290.729,164593
292.733,166861
294.738,167472
296.744,167475
298.748,167485
300.753,167487
302.758,167488
304.764,167489
306.770,167493
308.777,167505
310.783,167505
312.789,167507
314.795,167507
316.801,167507
318.806,167507
320.811,167508
322.815,167508
324.820,167508
326.825,167508
328.829,167509
330.833,167509
332.838,167510
334.843,167510
336.847,186441
338.852,187765
340.857,187765
342.862,187765
344.868,187765
346.873,187766
348.877,187770
350.882,187774
352.886,187777
354.891,187779
356.896,187779
358.902,187781
360.907,187782
362.913,187782
364.917,187783
366.922,187786
368.927,187811
370.931,187813
372.936,187816
374.941,187818
376.945,187819
378.950,187820
380.955,187822
382.959,187823
384.964,215476
386.968,227236
388.973,227238
390.978,227240
392.983,227240
394.987,227240
396.993,227240
398.997,227247
401.003,227251
403.008,227252
405.013,227252
407.018,227252
409.024,227253
411.029,227254
413.034,227767
415.038,227771
417.043,228285
419.048,228287
421.053,228288
423.058,231690
425.063,231691
427.070,231698
429.075,231713
431.080,231716
433.085,231717
435.089,231717
437.094,231717
439.099,231717
441.104,231717
443.109,231720
445.115,231721
447.120,231723
449.125,231725
451.131,231725
453.137,236335
455.142,243312
457.147,243315
459.152,243322
461.157,243324
463.162,243327
465.168,243329
467.175,243329
469.179,243329
471.184,243329
473.189,243332
475.193,243334
477.199,243334
479.204,243340
481.209,243340
483.214,243342
485.219,243342
487.224,243343
489.229,248531
491.234,248533
493.239,248533
495.243,248535
497.248,248535
499.253,248535
501.258,273111
503.263,278231
505.269,278231
507.274,278231
509.279,278232
511.284,278232
513.289,278233
515.294,278238
517.299,278240
519.304,278251
521.309,278252
523.314,281093
525.319,281093
527.324,281096
529.328,281097
531.333,281100
533.338,281100
535.344,281102
537.348,281104
539.353,281107
541.366,281108
543.371,281110
545.375,281110
547.380,281112
549.385,281122
551.389,281124
553.394,281124
555.399,281125
557.404,282415
559.408,282415
561.413,282418
563.417,282418
565.422,282422
567.427,282428
569.431,282428
571.436,282429
573.442,282429
575.447,282431
577.452,282433
579.456,282440
581.461,282442
583.466,282442
585.475,282443
587.480,282444
589.485,282446
591.490,282447
593.495,282447
595.500,282447
597.504,282449
599.509,282449
601.514,282452
603.518,282499
605.523,282500
607.528,282501
609.533,282515
611.538,282515
613.543,282516
615.548,282517
617.552,282517
619.557,282517
621.562,282517
623.567,282518
625.572,282522
627.577,282523
629.581,282527
631.586,282530
633.590,282530
635.595,282531
637.600,282533
639.604,282547
641.609,282550
643.614,282550
645.619,282550
647.623,282553
649.628,282554
651.633,282556
653.637,282559
655.642,282561
657.647,282563
659.651,282564
661.656,282566
663.661,282568
665.665,282570
667.670,282573
669.675,282585
671.679,282586
673.694,282596
675.698,282596
677.703,282610
679.708,282610
681.712,282627
683.717,282627
685.721,282627
687.726,282627
689.731,282628
691.735,282631
693.740,282631
695.744,282632
697.749,282632
699.754,282633
701.760,282635
703.765,282637
705.770,282638
707.775,282638
709.780,282641
711.784,282642
713.789,282645
715.794,282645
717.799,283519
719.803,283523
721.808,283523
723.813,283527
725.817,283528
727.822,284141
729.827,284142
731.832,284147
733.836,284147
735.841,284148
737.846,284148
739.850,284148
741.856,284150
743.861,284152
745.865,284152
747.870,284153
749.875,284153
751.879,284154
753.884,284157
755.889,284158
757.894,284158
759.899,284159
761.904,284169
763.909,284170
765.913,286372
767.918,286372
769.923,286373
771.927,286375
773.932,286375
775.936,286375
777.942,286375
779.947,286376
781.952,286377
783.957,286378
785.961,286378
787.966,286378
789.971,286381
791.976,286389
793.981,286525
795.986,286525
797.991,286533
799.995,286533
802.000,288535
804.005,290654
806.009,290654
808.014,290859
810.019,291830
812.024,291831
814.028,291834
816.033,291835
818.037,291835
820.042,291842
822.047,291855
824.052,291857
826.057,291858
828.061,291859
830.066,291862
832.070,291865
834.075,291868
836.080,291869
838.084,291871
840.089,291871
842.093,291872
844.098,291872
846.102,291873
848.107,291927
850.112,291928
852.118,291931
854.124,291933
856.129,291933
858.135,291933
860.141,291934
862.147,291935
864.154,291935
