t_rel,cum_migrations
0.000,0
2.021,0
4.028,0
6.033,0
8.039,0
10.044,0
12.049,0
14.054,0
16.059,0
18.063,1
20.068,1
22.073,1
24.078,1
26.083,1058
28.090,2092
30.095,2456
32.100,2456
34.105,2456
36.109,2456
38.114,2456
40.119,2456
42.124,2456
44.136,2637
46.141,2792
48.146,2792
50.151,2792
52.155,2792
54.160,2792
56.164,2792
58.169,2792
60.174,2792
62.178,2854
64.183,2914
66.188,2977
68.193,5558
70.198,6169
72.204,6625
74.209,6761
76.214,6892
78.219,7067
80.224,7149
82.230,7149
84.235,7224
86.239,7342
88.255,7474
90.261,7605
92.266,7705
94.271,7755
96.276,7755
98.281,7755
100.286,7755
102.291,8203
104.296,15446
106.302,15593
108.307,15935
110.312,15935
112.316,15935
114.321,15935
116.326,15935
118.331,16167
120.336,16177
122.341,16217
124.346,16290
126.350,16290
128.355,16290
130.360,16290
132.365,16290
134.369,16290
136.374,16371
138.379,16373
140.384,16374
142.388,16375
144.393,16375
146.398,16375
148.403,16375
150.408,16375
152.412,16375
154.417,16375
156.422,16375
158.427,16375
160.432,16375
162.437,16375
164.442,16375
166.447,16375
168.452,16375
170.456,16405
172.461,16405
174.466,16405
176.470,16405
178.475,16405
180.480,16405
182.485,16405
184.490,16405
186.495,16405
188.499,16405
190.504,16405
192.509,16405
194.514,16405
196.519,16405
198.523,16405
200.528,16405
202.533,16407
204.537,16407
206.542,16407
208.547,16407
210.552,16407
212.557,16407
214.562,16407
216.566,16407
218.571,16407
220.576,16407
222.581,16407
224.587,16407
226.592,16407
228.597,16407
230.602,16407
232.607,16407
234.612,16428
236.617,16428
238.622,16428
240.628,16428
242.633,16428
244.638,16428
246.643,16428
248.648,16428
250.652,16428
252.657,16428
254.662,16428
256.667,16428
258.672,16428
260.677,16428
262.682,16428
264.695,16428
266.700,16428
268.704,16436
270.709,16436
272.715,16436
274.719,16436
276.724,16436
278.729,16436
280.734,16436
282.739,16436
284.744,16436
286.749,16436
288.754,16436
290.759,16436
292.764,16436
294.768,16436
296.773,16436
298.779,16436
300.784,16436
302.789,16436
304.793,16436
306.798,16436
308.816,16436
310.820,16436
312.825,16436
314.830,16436
316.836,17082
318.840,19453
320.845,23902
322.851,50618
324.856,85918
326.861,88288
328.866,90744
330.870,92379
332.875,92379
334.880,92379
336.885,92471
338.890,92479
340.895,92479
342.900,92479
344.905,92479
346.909,92479
348.914,92482
350.919,92487
352.924,92492
354.929,92590
356.933,92620
358.938,92620
360.943,93235
362.949,93571
364.954,94701
366.959,113371
368.963,115187
370.968,115516
372.973,115516
374.978,115516
376.983,115516
378.990,122409
380.995,131025
382.999,141800
385.004,141800
387.009,152145
389.014,154605
391.019,154605
393.024,154605
395.029,154605
397.040,154605
399.045,202553
401.049,202553
403.054,202553
405.059,202553
407.064,202553
409.069,202553
411.074,202553
413.079,202553
415.085,202553
417.091,202553
419.096,209330
421.101,211046
423.106,212456
425.112,213881
427.117,213917
429.121,213920
431.126,213923
433.131,213925
435.137,213925
437.141,213925
439.146,213926
441.154,213926
443.159,213926
445.164,213926
447.169,213926
449.174,213926
451.178,213926
453.183,213926
455.187,213926
457.192,213978
459.197,213978
461.202,214037
463.207,214037
465.211,214339
467.216,214339
469.221,214339
471.226,225618
473.231,229200
475.236,229200
477.240,229200
479.245,229200
481.250,229200
483.255,229200
485.259,229200
487.264,229200
489.269,229200
491.273,230581
493.278,230581
495.283,231115
497.289,231115
499.293,231278
501.298,231278
503.302,231278
505.307,231278
507.312,231278
509.317,231278
511.322,231647
513.328,231647
515.332,231647
517.337,231647
519.342,231647
521.347,231647
523.352,231647
525.357,231647
527.363,231647
529.370,231647
531.376,231647
533.382,231647
535.388,231660
537.394,231685
539.399,233008
541.405,233315
543.411,233341
545.416,233366
547.422,233385
549.428,233385
551.434,233385
553.439,233385
555.448,233385
557.455,233385
559.461,233385
561.468,233385
563.473,233385
565.478,233385
567.483,233385
569.489,233385
571.494,233386
573.499,233386
575.504,233386
577.510,233408
579.515,233409
581.520,233409
583.524,233409
585.529,233409
587.534,233409
589.540,233409
591.545,233409
593.550,233409
595.555,233409
597.560,233409
599.565,233409
601.570,233409
603.575,233409
605.579,233410
607.584,233410
609.589,233410
611.594,233414
613.598,233414
615.603,233414
617.608,233415
619.613,233415
621.618,233415
623.623,233415
625.628,233415
627.634,233415
629.639,233415
631.643,233415
633.648,233415
635.653,233415
637.658,233415
639.663,233415
641.667,233416
643.672,233418
645.677,233420
647.683,233439
649.688,233441
651.693,233442
653.697,233444
655.702,233444
657.707,233444
659.711,233444
661.716,233444
663.721,233444
665.726,233444
667.730,233444
669.735,233444
671.740,233444
673.744,233444
675.749,233444
677.754,233444
679.760,233444
681.765,233444
683.769,233444
685.774,233444
687.779,233444
689.783,233461
691.788,233461
693.793,233461
695.798,233461
697.803,233461
699.808,233461
701.812,233461
703.817,233461
705.822,233461
707.827,233461
709.832,233461
711.836,233461
713.841,233461
715.846,233461
717.850,233461
719.855,233462
721.860,233463
723.865,233469
725.869,233469
727.874,233470
729.879,233470
731.883,233470
733.888,233470
735.893,233470
737.898,233470
739.903,233470
741.907,233470
743.912,233470
745.917,233470
747.922,233470
749.926,233470
751.931,233537
753.937,233537
755.941,233537
757.946,233537
759.952,233542
761.957,233542
763.961,233542
765.966,233546
767.971,233557
769.976,233568
771.981,234269
773.985,234664
775.990,234674
777.995,234761
780.000,234767
782.004,234850
784.009,234856
786.014,234859
788.018,234931
790.024,234931
792.029,234931
794.034,235023
