t_rel,cum_migrations
0.000,0
2.013,0
4.018,0
6.024,0
8.029,0
10.034,0
12.040,0
14.045,65984
16.051,166860
18.056,301484
20.061,402444
22.066,503404
24.071,616300
26.076,952684
28.082,1472396
30.087,1989068
32.093,2460844
34.098,2694540
36.103,2908908
38.109,2908908
40.114,2982764
42.119,2982764
44.125,3020140
46.131,3068908
48.136,3442156
50.142,3799323
52.148,3799323
54.154,3799323
56.159,3799323
58.165,3799323
60.170,3799323
62.175,3799323
64.180,3799323
66.186,3799323
68.192,3799323
70.197,3799323
72.202,3799323
74.207,4009627
76.213,4249659
78.218,4574907
80.224,4861275
82.229,5105275
84.235,5248731
86.240,5402235
88.253,5556859
90.259,5709595
92.264,5862459
94.271,6014940
96.276,6167580
98.282,6320028
100.287,6472316
102.292,6624764
104.298,6777244
106.303,6929756
108.308,6944316
110.313,6944316
112.319,7018236
114.324,7336700
116.329,7652540
118.335,8078908
120.340,8651740
122.346,9070460
124.351,9358332
126.356,9371996
128.361,9371996
130.366,9371996
132.371,9409916
134.377,9654076
136.382,9654076
138.388,9796764
140.393,9990172
142.398,10021372
144.403,10021372
146.409,10021372
148.415,10021372
150.420,10021372
152.425,10021372
154.430,10021372
156.435,10021372
158.441,10021372
160.446,10021372
162.451,10021372
164.457,10021372
166.462,10021372
168.467,10021372
170.473,10021372
172.478,10021372
174.483,10021372
176.489,10021372
178.494,10021372
180.499,10021372
182.504,10021372
184.510,10021372
186.515,10021372
188.520,10021372
190.525,10021372
192.531,10021372
194.536,10021372
196.541,10021372
198.547,10021372
200.552,10021372
202.557,10021372
204.562,10021372
206.568,10021372
208.573,10021372
210.578,10021372
212.584,10021372
214.589,10021372
216.594,10021372
218.599,10021372
220.604,10021372
222.610,10021372
224.616,10021372
226.621,10021372
228.626,10021372
230.632,10021372
232.637,10021372
234.642,10021372
236.648,10021372
238.653,10021372
240.658,10021372
242.664,10021372
244.670,10021372
246.675,10021372
248.681,10021372
250.686,10021372
252.691,10021372
254.696,10021372
256.702,10021372
258.707,10021372
260.712,10021372
262.720,10021372
264.729,10021372
266.734,10021372
268.740,10021372
270.745,10021372
272.751,10021372
274.757,10021372
276.762,10021372
278.768,10021372
280.774,10021372
282.780,10021372
284.786,10021372
286.791,10021372
288.796,10021372
290.802,10021372
292.807,10021372
294.813,10021372
296.818,10021372
298.823,10021372
300.828,10021372
302.834,10021372
304.839,10021372
306.845,10021372
308.850,10021372
310.855,10021372
312.861,10021372
314.866,10021372
316.872,10021372
318.879,10021372
320.884,10021372
322.890,10021372
324.896,10021372
326.901,10021372
328.907,10082844
330.913,10183420
332.918,10284092
334.924,10398780
336.929,10518908
338.935,10727452
340.940,11251964
342.946,11770524
344.951,12272348
346.956,12644124
348.962,12785788
350.981,12862428
352.987,12906716
354.993,12906716
356.998,12945212
359.004,12945212
361.010,13279644
363.015,13627164
365.021,13788718
367.026,13788718
369.032,13788718
371.037,13788718
373.043,13788718
375.048,13788718
377.053,13788718
379.058,13788718
381.064,13788718
383.069,13788718
385.074,13788718
387.080,13904046
389.086,14193198
391.091,14475854
393.096,14719982
395.102,15054254
397.107,15221582
399.113,15373422
401.118,15525806
403.124,15675662
405.129,15825423
407.135,15974927
409.140,16123919
411.145,16270159
413.151,16416209
415.156,16561201
417.161,16707697
419.167,16853553
421.172,16921937
423.177,16921937
425.183,16921937
427.189,17135921
429.194,17452113
431.199,17957169
433.205,18507345
435.210,18925585
437.215,19257745
439.220,19257745
441.225,19257745
443.231,19257745
445.236,19263089
447.241,19318065
449.247,19343377
451.252,19343377
453.257,19343377
455.263,19343377
457.268,19343377
459.273,19343377
461.279,19343377
463.285,19343377
465.290,19343377
467.296,19343377
469.302,19343377
471.307,19343377
473.313,19343377
475.319,19343377
477.324,19343377
479.330,19343377
481.336,19343377
483.341,19343377
485.347,19343377
487.353,19343377
489.358,19343377
491.364,19343377
493.370,19343377
495.376,19343377
497.381,19343377
499.386,19343377
501.392,19343377
503.397,19343377
505.402,19343377
507.407,19343377
509.413,19343377
511.418,19343377
513.423,19343377
515.428,19343377
517.434,19343377
519.439,19343377
521.445,19343377
523.451,19343377
525.456,19343377
527.462,19343377
529.467,19343377
531.472,19343377
533.478,19343377
535.483,19343377
537.488,19343377
539.494,19343377
541.499,19343377
543.504,19343377
545.510,19343377
547.515,19343377
549.520,19343377
551.525,19343377
553.531,19343377
555.536,19343377
557.541,19343377
559.547,19343377
561.552,19343377
563.557,19343377
565.562,19343377
567.568,19343377
569.573,19343377
571.579,19343377
573.584,19343377
575.590,19343377
577.597,19343377
579.602,19343377
581.608,19343377
583.614,19343377
585.619,19343377
587.625,19343377
589.631,19343377
591.636,19343377
593.643,19343377
595.648,19343377
597.654,19343377
599.660,19343377
601.665,19343377
603.671,19343377
605.677,19343377
607.682,19343377
609.687,19343377
611.693,19343377
613.698,19343377
615.703,19343377
617.708,19343377
619.714,19343377
621.719,19343377
623.724,19343377
625.730,19343377
627.735,19343377
629.740,19343377
631.746,19343377
633.751,19343377
635.756,19343377
637.761,19343377
639.767,19343377
641.772,19343377
643.777,19343377
645.783,19343377
647.788,19343377
649.793,19343377
651.798,19343377
653.803,19343377
655.814,19343377
657.820,19343377
659.825,19343377
661.831,19343377
663.837,19343377
665.842,19343377
667.848,19343377
669.856,19343377
