t_rel,cum_migrations
0.000,0
2.024,1
4.029,2
6.034,6
8.039,7
10.044,7
12.048,7
14.053,7
16.058,8
18.062,8
20.067,8
22.071,8
24.076,669
26.081,14640
28.086,23427
30.091,27677
32.096,27677
34.101,27679
36.106,27689
38.111,27689
40.115,27691
42.120,27691
44.125,32133
46.130,33128
48.135,33130
50.139,33130
52.144,33130
54.148,33130
56.153,33130
58.157,33130
60.162,33130
62.168,33130
64.172,33131
66.177,89190
68.183,105805
70.188,109382
72.192,111587
74.197,112147
76.203,112900
78.207,113044
80.212,113767
82.217,114981
84.222,115973
86.227,116967
88.243,117968
90.248,118912
92.255,119454
94.259,119683
96.265,119685
98.271,120176
100.276,120340
102.280,126681
104.286,128040
106.291,128571
108.296,157030
110.301,157034
112.306,157034
114.310,157034
116.315,157034
118.320,158288
120.324,158290
122.330,158313
124.335,175501
126.339,175555
128.344,181063
130.349,181067
132.356,181153
134.361,181234
136.366,181311
138.371,184049
140.376,184051
142.381,184053
144.386,184284
146.391,184285
148.396,184285
150.401,184287
152.406,184398
154.410,184401
156.415,184507
158.420,184559
160.425,184564
162.430,184634
164.435,184634
166.440,184634
168.445,184640
170.450,185380
172.455,185386
174.460,185386
176.465,195629
178.470,197957
180.474,198985
182.479,200487
184.484,201131
186.489,201134
188.494,201171
190.499,201172
192.504,201178
194.509,201179
196.514,201181
198.518,201182
200.523,201184
202.528,201184
204.533,202428
206.538,202428
208.542,202430
210.547,202431
212.552,202431
214.556,202431
216.561,202433
218.566,202498
220.576,202505
222.581,202507
224.586,202508
226.591,202508
228.596,202508
230.600,202508
232.605,202512
234.609,202513
236.614,204521
238.619,204523
240.623,204526
242.628,204530
244.632,204531
246.637,204532
248.642,204573
250.650,204579
252.655,204580
254.660,204580
256.664,204583
258.669,204584
260.675,204587
262.680,204587
264.688,204597
266.693,204599
268.698,204606
270.703,204831
272.708,204863
274.712,204920
276.718,205028
278.722,205726
280.727,207600
282.732,207606
284.737,207606
286.742,207609
288.747,207618
290.752,207618
292.757,207625
294.763,207628
296.769,207630
298.774,207632
300.779,207633
302.784,207634
304.788,207634
306.793,207636
308.804,207637
310.808,207637
312.813,207638
314.818,207639
316.822,221979
318.828,504711
320.833,610184
322.837,610184
324.842,610184
326.847,610185
328.852,610185
330.856,610185
332.861,610185
334.866,610186
336.870,610186
338.876,610189
340.881,610189
342.885,610189
344.890,610189
346.895,610190
348.899,610191
350.904,610192
352.908,610193
354.913,610193
356.917,612930
358.923,612931
360.928,612931
362.933,731782
364.937,755847
366.942,755848
368.947,755851
370.952,756346
372.956,756346
374.963,785611
376.968,867685
378.973,907518
380.978,953087
382.982,982271
384.988,1026833
386.993,1028930
388.998,1028931
391.003,1028932
393.007,1028932
395.013,1028932
397.024,1346885
399.030,1434439
401.034,1434439
403.039,1434439
405.044,1434439
407.048,1434439
409.053,1434439
411.059,1434440
413.064,1434440
415.068,1434440
417.073,1483080
419.079,1492808
421.083,1492808
423.088,1492808
425.092,1495008
427.097,1498326
429.102,1498328
431.107,1498840
433.112,1498840
435.116,1498840
437.122,1498840
439.128,1498840
441.132,1498841
443.137,1498841
445.142,1498843
447.147,1498844
449.151,1498845
451.156,1498845
453.160,1498846
455.165,1498846
457.170,1498848
459.175,1498850
461.180,1498852
463.185,1498852
465.190,1498994
467.194,1498994
469.199,1498994
471.204,1498994
473.208,1498995
475.213,1498996
477.218,1498998
479.222,1498998
481.227,1498998
483.232,1498998
485.236,1498999
487.241,1498999
489.246,1499387
491.251,1499413
493.255,1499429
495.261,1499454
497.266,1499454
499.271,1499836
501.275,1499836
503.280,1499839
505.284,1499839
507.289,1499840
509.294,1499841
511.299,1499841
513.304,1499841
515.308,1499841
517.313,1499842
519.318,1499843
521.323,1499846
523.328,1499853
525.332,1499858
527.337,1499861
529.342,1499865
531.347,1499870
533.351,1500044
535.356,1500084
537.361,1500163
539.365,1500172
541.370,1500185
543.374,1500195
545.379,1500198
547.384,1500207
549.388,1500212
551.393,1500218
553.398,1500219
555.402,1500220
557.407,1500350
559.411,1500353
561.417,1500355
563.422,1500360
565.426,1500363
567.431,1500364
569.436,1500368
571.441,1508244
573.445,1511866
575.450,1511871
577.455,1512029
