t_rel,cum_migrations
4.639,4
6.550,6
8.187,9
10.097,12
12.007,14
13.645,17
15.555,18
17.465,19
19.103,21
21.013,26
22.923,29
24.561,31
26.471,32
28.381,36
30.019,37
31.929,46
33.839,52
35.477,58
37.387,63
39.297,65
40.935,71
42.845,73
44.755,75
46.393,77
48.303,78
50.213,82
51.850,85
53.761,87
55.671,88
57.308,90
59.219,91
61.129,92
62.766,96
64.677,98
66.587,99
68.224,101
70.135,103
71.772,105
73.682,107
75.593,109
77.230,109
79.140,111
81.050,112
82.688,117
84.598,119
86.508,123
88.146,123
90.056,125
91.966,127
93.604,130
95.514,131
97.424,135
99.062,136
100.972,146
102.882,149
104.520,163
106.430,182
108.340,194
109.978,205
111.888,221
113.798,240
115.436,255
117.346,278
119.256,293
120.893,309
122.804,332
124.714,350
126.351,371
128.262,390
130.172,409
131.809,428
133.720,448
135.357,462
137.267,478
139.178,497
140.815,513
142.725,526
144.636,542
146.273,552
148.183,567
150.093,584
151.731,603
153.641,619
155.551,630
157.189,650
159.099,676
161.009,689
162.647,701
164.557,717
166.467,737
168.105,749
170.015,761
171.925,775
173.563,790
175.473,809
177.383,838
179.021,853
180.931,877
182.841,894
184.479,903
186.389,921
188.299,931
189.936,952
191.847,978
193.757,996
195.394,1010
197.305,1024
199.215,1040
200.852,1050
202.763,1059
204.673,1076
206.310,1094
208.221,1114
210.131,1132
211.768,1145
213.679,1169
215.589,1183
217.226,1203
219.136,1219
221.047,1241
222.684,1256
224.594,1275
226.505,1293
228.142,1301
230.052,1317
231.963,1333
233.600,1341
235.510,1354
237.421,1368
239.058,1381
240.968,1398
242.879,1413
244.516,1425
246.426,1437
248.336,1461
249.974,1475
251.884,1491
253.794,1503
255.432,1519
257.342,1531
259.252,1542
260.890,1559
262.800,1578
264.710,1596
266.348,1597
268.258,1599
270.168,1602
271.806,1603
273.716,1606
275.626,1608
277.264,1610
279.174,1612
281.084,1616
282.721,1618
284.632,1620
286.542,1621
288.179,1626
290.090,1637
292.000,1641
293.637,1641
295.548,1644
297.458,1645
299.095,1646
301.006,1652
302.643,1654
304.553,1658
306.464,1658
308.101,1662
310.011,1664
311.921,1666
313.559,1668
315.469,1670
317.379,1673
319.017,1674
320.927,1674
322.837,1676
324.475,1678
326.385,1681
328.295,1683
329.933,1686
331.843,1687
333.753,1689
335.391,1691
337.301,1692
339.211,1694
340.849,1694
342.759,1694
344.669,1709
346.307,1714
348.217,1720
350.127,1733
351.764,1769
353.675,1794
355.585,1815
357.222,1827
359.133,1840
361.043,1855
362.680,1859
364.591,1869
366.501,1874
368.138,1878
370.049,1892
371.959,1897
373.596,1901
375.507,1913
377.417,1924
379.054,1932
380.964,1936
382.875,1947
384.512,1951
386.422,1957
388.333,1962
389.970,1975
391.880,1989
393.791,2000
395.428,2011
397.338,2022
399.249,2033
400.886,2043
402.796,2055
404.707,2063
406.344,2069
408.254,2076
410.164,2082
411.802,2094
413.712,2106
415.622,2112
417.260,2122
419.170,2132
421.080,2141
422.718,2147
424.628,2160
426.538,2168
428.176,2178
430.086,2186
431.996,2197
433.634,2207
435.544,2220
437.454,2234
439.092,2246
441.002,2257
442.912,2263
444.550,2272
446.460,2281
448.370,2293
450.007,2306
451.918,2317
453.828,2326
455.465,2330
457.376,2344
459.286,2359
460.923,2373
462.834,2385
464.744,2394
466.381,2400
468.292,2410
470.202,2423
471.839,2434
473.750,2448
475.660,2457
477.297,2469
479.207,2481
481.118,2493
482.755,2498
484.665,2510
486.576,2529
488.213,2540
490.123,2554
492.034,2561
493.671,2575
495.581,2585
497.492,2605
499.129,2619
501.039,2631
502.950,2643
504.587,2651
506.497,2666
508.407,2679
510.045,2685
511.955,2700
513.865,2713
515.503,2721
517.413,2731
519.323,2743
520.961,2752
522.871,2765
524.781,2771
526.419,2781
528.329,2794
530.239,2807
531.877,2814
533.787,2819
535.697,2826
537.335,2828
539.245,2839
540.882,2851
542.793,2866
544.703,2880
546.340,2886
548.250,2893
550.161,2901
551.798,2908
553.708,2925
555.619,2938
557.256,2951
559.166,2961
561.077,2970
562.714,2975
564.624,2989
566.535,3000
568.172,3006
570.082,3012
571.993,3022
573.630,3032
575.540,3035
577.450,3043
579.088,3051
580.998,3071
582.908,3086
584.546,3100
586.456,3113
588.366,3117
590.004,3130
591.914,3139
593.824,3142
595.462,3145
597.372,3150
599.282,3164
600.920,3172
602.830,3181
604.740,3189
606.378,3197
608.288,3206
610.198,3221
611.836,3233
613.746,3244
615.656,3254
617.293,3259
619.204,3269
620.841,3274
622.751,3283
624.662,3291
626.299,3297
628.209,3304
630.120,3312
631.757,3319
633.667,3333
635.578,3342
637.215,3351
639.125,3358
641.036,3365
642.673,3371
644.583,3379
646.493,3385
648.131,3388
650.041,3401
651.951,3417
653.589,3422
655.499,3429
657.409,3432
659.047,3435
660.957,3441
662.867,3450
664.505,3455
666.415,3462
668.325,3466
669.963,3475
671.873,3486
673.783,3495
675.421,3502
677.331,3507
679.241,3513
680.879,3529
682.789,3536
684.699,3552
686.336,3566
688.247,3581
690.157,3587
691.794,3594
693.705,3606
695.615,3620
697.252,3629
699.163,3635
701.073,3648
702.710,3658
704.621,3669
706.531,3684
708.168,3691
710.079,3702
711.989,3707
713.626,3717
715.536,3731
717.447,3740
719.084,3747
720.994,3758
722.905,3762
724.542,3771
726.452,3781
728.363,3786
730.000,3800
