system,t_seconds,hot_set_in_dram_pct
xTier,-219.675,0.0
xTier,-218.675,0.0
xTier,-217.675,0.65
xTier,-216.674,1.79
xTier,-215.674,3.098
xTier,-214.674,4.665
xTier,-213.674,5.7286
xTier,-212.674,6.9325
xTier,-211.674,8.1156
xTier,-210.674,9.166
xTier,-209.674,10.4636
xTier,-208.674,11.545
xTier,-207.673,12.74
xTier,-206.673,13.8579
xTier,-205.673,14.844
xTier,-204.673,16.9187
xTier,-203.673,19.132
xTier,-202.673,21.1547
xTier,-201.673,23.316
xTier,-200.673,25.4867
xTier,-199.673,27.0233
xTier,-198.672,28.8287
xTier,-197.672,30.522
xTier,-196.672,32.032
xTier,-195.672,33.4467
xTier,-194.672,35.0
xTier,-193.672,36.4233
xTier,-192.672,37.7253
xTier,-191.672,38.7233
xTier,-190.672,39.912
xTier,-189.671,41.0407
xTier,-188.671,41.9873
xTier,-187.671,42.8727
xTier,-186.671,43.6367
xTier,-185.671,44.426
xTier,-184.671,45.3547
xTier,-183.671,46.2053
xTier,-182.671,47.3073
xTier,-181.671,48.1847
xTier,-180.67,49.1313
xTier,-179.67,49.696
xTier,-178.67,50.408
xTier,-177.67,51.12
xTier,-176.67,52.3353
xTier,-175.67,53.2993
xTier,-174.67,54.0807
xTier,-173.67,54.844
xTier,-172.67,55.7293
xTier,-171.669,56.736
xTier,-170.669,57.474
xTier,-169.669,58.186
xTier,-168.669,58.846
xTier,-167.669,59.2887
xTier,-166.669,60.122
xTier,-165.669,60.7207
xTier,-164.669,61.6233
xTier,-163.668,62.2827
xTier,-162.668,63.038
xTier,-161.668,63.5153
xTier,-160.668,64.218
xTier,-159.668,64.7473
xTier,-158.668,65.468
xTier,-157.668,66.0413
xTier,-156.668,66.5973
xTier,-155.667,66.9533
xTier,-154.667,67.5607
xTier,-153.667,68.238
xTier,-152.667,68.62
xTier,-151.667,68.9493
xTier,-150.667,69.6353
xTier,-149.667,69.6787
xTier,-148.667,70.1393
xTier,-147.667,70.4433
xTier,-146.666,70.8253
xTier,-145.666,70.808
xTier,-144.666,71.2333
xTier,-143.666,71.5807
xTier,-142.666,71.9973
xTier,-141.666,72.1273
xTier,-140.666,72.5093
xTier,-139.666,72.9607
xTier,-138.665,73.134
xTier,-137.665,73.7247
xTier,-136.665,74.1933
xTier,-135.665,74.436
xTier,-134.665,75.0
xTier,-133.665,75.3207
xTier,-132.665,75.5287
xTier,-131.665,75.876
xTier,-130.665,76.38
xTier,-129.664,76.614
xTier,-128.664,76.866
xTier,-127.664,77.1607
xTier,-126.664,77.2993
xTier,-125.664,77.6033
xTier,-124.664,77.8727
xTier,-123.664,78.3673
xTier,-122.664,78.376
xTier,-121.664,78.706
xTier,-120.663,79.0447
xTier,-119.663,79.366
xTier,-118.663,79.7307
xTier,-117.663,80.052
xTier,-116.663,80.3993
xTier,-115.663,80.6073
xTier,-114.663,81.0413
xTier,-113.663,81.258
xTier,-112.663,81.5967
xTier,-111.662,82.144
xTier,-110.662,82.3867
xTier,-109.662,82.4993
xTier,-108.662,82.6907
xTier,-107.662,83.1593
xTier,-106.662,83.29
xTier,-105.662,83.672
xTier,-104.662,83.698
xTier,-103.662,83.9067
xTier,-102.661,84.0713
xTier,-101.661,83.9493
xTier,-100.661,84.3227
xTier,-99.661,84.358
xTier,-98.661,84.7053
xTier,-97.661,84.9227
xTier,-96.661,85.1133
xTier,-95.661,85.322
xTier,-94.661,85.782
xTier,-93.66,85.886
xTier,-92.66,85.886
xTier,-91.66,85.938
xTier,-90.66,85.9813
xTier,-89.66,86.45
xTier,-88.66,86.5713
xTier,-87.66,86.9013
xTier,-86.66,87.188
xTier,-85.66,87.1013
xTier,-84.659,87.4047
xTier,-83.659,87.552
xTier,-82.659,87.6387
xTier,-81.659,87.6907
xTier,-80.659,87.9073
xTier,-79.659,87.9247
xTier,-78.659,88.0893
xTier,-77.659,88.3233
xTier,-76.658,88.6093
xTier,-75.658,88.7133
xTier,-74.658,88.7047
xTier,-73.658,88.8
xTier,-72.658,88.826
xTier,-71.658,89.008
xTier,-70.658,89.2853
xTier,-69.658,89.3113
xTier,-68.658,89.3547
xTier,-67.658,89.4847
xTier,-66.657,89.58
xTier,-65.657,89.6933
xTier,-64.657,89.7887
xTier,-63.657,89.9713
xTier,-62.657,90.1627
xTier,-61.657,90.2587
xTier,-60.657,90.3547
xTier,-59.657,90.4073
xTier,-58.657,90.538
xTier,-57.657,90.79
xTier,-56.656,90.9293
xTier,-55.656,90.9907
xTier,-54.656,91.1907
xTier,-53.656,91.304
xTier,-52.656,91.3647
xTier,-51.656,91.5213
xTier,-50.656,91.6253
xTier,-49.656,91.7733
xTier,-48.656,91.86
xTier,-47.656,91.8687
xTier,-46.655,92.0073
xTier,-45.655,92.0247
xTier,-44.655,92.1633
xTier,-43.655,92.2153
xTier,-42.655,92.2587
xTier,-41.655,92.2847
xTier,-40.655,92.3453
xTier,-39.655,92.3107
xTier,-38.655,92.3713
xTier,-37.654,92.606
xTier,-36.654,92.606
xTier,-35.654,92.7273
xTier,-34.654,92.7707
xTier,-33.654,92.7273
xTier,-32.654,92.8487
xTier,-31.654,92.9007
xTier,-30.654,92.9873
xTier,-29.654,93.0567
xTier,-28.654,93.2473
xTier,-27.653,93.1173
xTier,-26.653,93.2473
xTier,-25.653,93.4207
xTier,-24.653,93.49
